HHID,treatment
100038,0
100039,1
100040,1
100041,1
100042,1
100043,1
100044,1
100045,0
100046,1
100047,1
100048,0
100049,0
100050,0
100051,1
100052,1
100053,0
100054,1
100055,0
100056,0
100057,0
100058,0
100059,1
100060,1
100061,0
100062,0
100063,0
100064,0
100065,1
100066,1
100067,0
100068,1
100069,0
100070,1
100071,0
100072,0
100073,1
100074,0
100075,1
100076,0
100077,0
100078,0
100079,0
100080,0
100081,1
100082,0
100083,1
100084,1
100085,1
100086,0
100087,0
100088,0
100089,1
100090,1
100091,1
100092,1
100093,1
100094,0
100095,1
100096,0
100097,0
100098,1
100099,1
100100,1
100101,0
100102,1
100103,1
100104,1
100105,1
100106,1
100107,1
100108,1
100109,0
100110,1
100111,0
100112,1
100113,1
100114,0
100115,1
100116,0
100117,1
100118,0
100119,1
100120,1
100121,0
100122,0
100123,0
100124,0
100125,0
100126,1
100127,1
100128,0
100129,0
100130,0
100131,1
100132,1
100133,1
100134,1
100135,1
100136,1
100137,1
100138,1
100139,1
100140,0
100141,1
100142,0
100143,1
100144,1
100145,1
100146,1
100147,1
100148,1
100149,1
100150,0
100151,1
100152,1
100153,0
100154,0
100155,1
100156,1
100157,1
100158,0
100159,1
100160,1
100161,0
100162,0
100163,0
100164,0
100165,1
100166,0
100167,0
100168,0
100169,1
100170,1
100171,1
100172,0
100173,0
100174,1
100175,1
100176,0
100177,1
100178,1
100179,1
100180,0
100181,1
100182,1
100183,1
100184,1
100185,1
100186,0
100187,0
100188,0
100189,1
100190,1
100191,1
100192,1
100193,1
100194,0
100195,0
100196,0
100197,1
100198,1
100199,0
100200,0
100201,0
100202,1
100203,1
100204,1
100205,1
100206,1
100207,0
100208,1
100209,1
100210,1
100211,0
100212,0
100213,0
100214,1
100215,1
100216,1
100217,1
100218,1
100219,1
100220,1
100221,1
100222,0
100223,1
100224,1
100225,1
100226,0
100227,0
100228,1
100229,0
100230,1
100231,0
100232,0
100233,0
100234,1
100235,0
100236,1
100237,0
100238,0
100239,0
100240,0
100241,0
100242,1
100243,1
100244,0
100245,0
100246,1
100247,1
100248,0
100249,1
100250,0
100251,1
100252,1
100253,1
