ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1_EN,ADM1ALT2_EN,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Abia,NG001,Abia,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,4859.50293
Adamawa,NG002,Adamawa,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,37821.67578
Akwa Ibom,NG003,Akwa Ibom,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,6739.355957
Anambra,NG004,Anambra,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,4805.519531
Bauchi,NG005,Bauchi,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,48516.71484
Bayelsa,NG006,Bayelsa,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,9529.016602
Benue,NG007,Benue,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,31483.33398
Borno,NG008,Borno,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,72156.59375
Cross River,NG009,Cross River,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,20954.92578
Delta,NG010,Delta,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,17076.83984
Ebonyi,NG011,Ebonyi,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,6339.614258
Edo,NG012,Edo,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,19514.43555
Ekiti,NG013,Ekiti,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,5754.115234
Enugu,NG014,Enugu,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,7636.123047
Federal Capital Territory,NG015,Federal Capital Territory,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,7386.666992
Gombe,NG016,Gombe,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,17426.64648
Imo,NG017,Imo,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,5073.675781
Jigawa,NG018,Jigawa,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,23216.1875
Kaduna,NG019,Kaduna,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,44155.3125
Kano,NG020,Kano,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,20324.55469
Katsina,NG021,Katsina,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,23962.63672
Kebbi,NG022,Kebbi,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,36596.58984
Kogi,NG023,Kogi,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,28899.46289
Kwara,NG024,Kwara,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,33643.67578
Lagos,NG025,Lagos,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,3671.476074
Nasarawa,NG026,Nasarawa,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,26763.89453
Niger,NG027,Niger,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,71934.5
Ogun,NG028,Ogun,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,16667.91602
Ondo,NG029,Ondo,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,15075.83594
Osun,NG030,Osun,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,8598.806641
Oyo,NG031,Oyo,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,27603.41016
Plateau,NG032,Plateau,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,26506.67188
Rivers,NG033,Rivers,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,10183.2627
Sokoto,NG034,Sokoto,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,32153.04883
Taraba,NG035,Taraba,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,58545.66016
Yobe,NG036,Yobe,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,44843.51563
Zamfara,NG037,Zamfara,,,Nigeria,NG,2016-11-29 00:00:00,2019-04-17 00:00:00,,33511.58984
