Year,"Net bilateral aid flows from DAC donors, Total (current US$)",Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Access to clean fuels and technologies for cooking, rural (% of rural population)",Net official development assistance and official aid received (constant 2021 US$),Net official development assistance and official aid received (current US$),Net official development assistance received (constant 2021 US$),Net official development assistance received (current US$),Net ODA received per capita (current US$),GDP per capita (current US$),"Population, total",Population in urban agglomerations of more than 1 million,Government Effectiveness: Estimate,Government Effectiveness: Number of Sources,Government Effectiveness: Percentile Rank,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval","Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",Government Effectiveness: Standard Error,Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)"
1960,32170000.46,..,..,..,..,334290008.5,32639999.39,377440002.4,32639999.39,0.724467468,93.13700904,45053782,2145512,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,31040000.39,..,..,..,..,294779998.8,30389999.39,332109985.4,30389999.39,0.660805726,97.13752811,45989310,2307157,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,29920000.06,..,..,..,..,263279998.8,30979999.54,291049987.8,30979999.54,0.659636047,104.5324955,46965292,2483438,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,18819999.96,..,..,..,..,146770004.3,20719999.31,156240005.5,20719999.31,0.431904425,107.6757414,47973575,2675543,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1964,42670000.23,..,..,..,..,344290008.5,44970001.22,371380004.9,44970001.22,0.917530126,113.2973457,49012016,2838869,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1965,71869998.62,..,..,..,..,589390014.6,75309997.56,641669982.9,75309997.56,1.5035908,117.2872268,50086764,2987077,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1966,66510000.61,..,..,..,..,498390014.6,68360000.61,537530029.3,68360000.61,1.335463158,124.3824402,51188234,3144274,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1967,68639999.3,..,..,..,..,506989990.2,72800003.05,544150024.4,72800003.05,1.392154066,99.50149066,52293065,3310861,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1968,64480001.31,..,..,..,..,497209991.5,68800003.05,546010009.8,68800003.05,1.287599095,97.33720813,53432783,3487727,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1969,73920000.08,..,..,..,..,546849975.6,85110000.61,590210022,85110000.61,1.55788063,121.4366633,54631914,3674807,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1970,91369998.7,..,..,..,..,761380004.9,107540000.9,761380004.9,107540000.9,1.924004591,224.462936,55893838,3873599,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1971,90100000.63,..,..,..,..,647049987.8,107110000.6,647049987.8,107110000.6,1.872071872,160.4792558,57214684,4087814,..,..,..,..,..,..,..,..,28.61153616,13.24854266,0,83.41282459,5.935347112,10.6518283,16.58717541
1972,69959999.39,..,..,..,..,474459991.5,83000000,474459991.5,83000000,1.416340004,209.4547763,58601748,4343653,..,..,..,..,..,..,..,..,32.7635278,14.17076442,0.044702727,64.68484578,11.04157354,24.22887796,35.31515422
1973,60050000.42,..,..,..,..,400290008.5,76379997.25,400290008.5,76379997.25,1.271259621,252.3690325,60082139,4616235,..,..,..,..,..,..,..,..,35.31831648,19.16190476,0,70.78095238,11.54285714,17.67619048,29.21904762
1974,55950000.36,..,..,..,..,322929992.7,72610000.61,322929992.7,72610000.61,1.177221276,402.8369998,61679144,4907942,..,..,..,..,..,..,..,..,32.84740787,11.41233056,2.273721032,86.96982947,6.558810669,4.197638828,13.03017053
1975,67030000.08,..,..,..,..,323269989,81379997.25,323269989,81379997.25,1.283377248,438.0788139,63410815,5219792,..,..,..,..,..,..,..,..,45.74929371,16.25288684,1.472286374,69.08198614,15.73325635,13.71247113,30.91801386
1976,46389999.49,..,..,..,..,198869995.1,51819999.69,198869995.1,51819999.69,0.794078773,556.3896877,65258009,5553761,..,..,..,..,..,..,..,..,51.54922823,18.07111544,1.339503166,70.79883098,18.70433512,9.157330736,29.20116902
1977,28899999.61,..,..,..,..,149639999.4,42009998.32,149639999.4,42009998.32,0.624827166,535.9653078,67234590,5910036,..,..,..,..,..,..,..,..,59.15110065,14.68279228,1.166984935,61.29853596,21.53617653,15.99830257,38.70146404
1978,27680000.17,..,..,..,..,122970001.2,40150001.53,122970001.2,40150001.53,0.579143372,526.8958529,69326532,6291783,..,..,..,..,..,..,..,..,60.64056399,7.206813715,0,50.75343962,29.46058091,19.78597947,49.24656038
1979,10780000.07,..,..,..,..,71260002.14,25739999.77,71260002.14,25739999.77,0.360008848,660.9940409,71498242,6700409,..,..,..,..,..,..,..,..,59.70776177,31.20420516,0,52.64415419,34.08728895,13.26855687,47.35584581
